"Normal11, 235th Right d2.npy",27,149,254,314,422,563,1032,1154,1261,1324,1432,1559
"Normal11, 237th Left d2.npy",27,141,246,305,407,524,978,1103,1202,1267,1381,1491
"Normal11, 253th Right d2.npy",13,129,249,317,399,535,1012,1134,1239,1307,1392,1497
"Normal12, 113th Right d2.npy",41,152,260,308,388,515,1023,1142,1259,1315,1398,1520
"Normal12, 175th Left d2.npy",27
"Normal12, 181th Left d2.npy",24,144,260,314,405,541,989,1108,1242,1290,1383,1534
"Normal12, 181th Right d2.npy",36,161,280,328,405,558,1000,1125,1256,1301,1392,1522
"Normal12, 185th Left d2.npy",27,152,268,345,424,555,1071,1188,1304,1358,1443,1582
"Normal12, 185th Right d2.npy",39,166,283,336,422,566,1083,1205,1321,1378,1460,1602
"Normal12, 187th Left d2.npy",27,141,251,311,390,529,983,1100,1225,1287,1372,1500
"Normal12, 187th Right d2.npy",39,155,268,319,402,546,998,1117,1242,1298,1381,1525
"Normal12, 191th Right d2.npy",44,158,288,348,422,563,1097,1219,1324,1383,1466,1608
"Normal12, 193th Left d2.npy",33,146,254,322,402,549,1012,1131,1256,1315,1409,1565
"Normal12, 193th Right d2.npy",39,169,266,336,422,566,1023,1145,1261,1310,1409,1557
"Normal12, 199th Right d2.npy",39,158,257,311,390,527,955,1063,1179,1253,1338,1435
"Normal12, 205th Right d2.npy",41,163,277,331,422,578,1020,1148,1276,1335,1429,1559
"Normal12, 213th Right d2.npy",39,152,268,331,407,535,1015,1134,1256,1310,1403,1537
"Normal12, 219th Right d2.npy",44,166,291,345,430,586,1029,1151,1281,1332,1423,1571
"Normal12, 243th Right d2.npy",44,155,260,314,399,521,1049,1168,1264,1327,1398,1545
"Normal12, 273th Right d2.npy",47,169,280,342,427,572,1023,1137,1270,1327,1426,1551
"Normal12, 277th Right d2.npy",50,175,302,368,456,612,1051,1176,1307,1375,1457,1613
"Normal12, 285th Right d2.npy",47,169,302,354,450,592,1043,1171,1295,1352,1443,1608
"Normal12, 299th Right d2.npy",50,178,305,359,447,592,1097,1227,1344,1398,1480,1642
"Normal12, 301th Left d2.npy",33,155,283,342,447,600,1037,1154,1298,1349,1466,1599
"Normal12, 301th Right d2.npy",58,189,308,373,478,632,1060,1191,1321,1378,1483,1630
"Normal12, 323th Right d2.npy",61,192,319,376,484,634,1051,1185,1313,1381,1491,1622
"Normal12, 89th Right d2.npy",41,152,266,322,396,504,1029,1137,1261,1307,1395,1511
"Normal13, 165th Left d2.npy",30,138,260,331,416,538,1043,1151,1276,1327,1420,1528
"Normal13, 47th Left d2.npy",33,152,274,336,430,552,1032,1159,1293,1352,1449,1548
"Normal14, 143th Left d2.npy",24,107,180,237,308,393,861,947,1017,1069,1162,1216
"Normal14, 143th Right d2.npy",19,98,178,226,305,393,859,947,1020,1074,1159,1239
"Normal14, 29th Left d2.npy",24,110,192,257,325,402,836,921,1009,1063,1145,1230
"Normal14, 29th Right d2.npy",27,112,206,260,328,422,844,927,1012,1074,1154,1244
"Normal14, 33th Left d2.npy",22,101,189,251,322,390,895,978,1060,1122,1188,1259
"Normal14, 33th Right d2.npy",30,104,197,257,325,396,895,983,1066,1122,1196,1264
"Normal14, 43th Left d2.npy",19,98,178,234,291,368,790,864,944,1006,1077,1142
"Normal14, 43th Right d2.npy",22,98,180,234,300,368,790,870,949,1015,1086,1148
"Normal15, 105th Right d2.npy",24,124,214,263,342,456,1000,1103,1199,1244,1327,1418
"Normal15, 113th Right d2.npy",30,135,229,283,365,507,1017,1131,1222,1267,1378,1508
"Normal15, 127th Right d2.npy",33,135,240,285,376,498,1037,1151,1253,1295,1386,1505
"Normal15, 133th Right d2.npy",30,141,226,271,379,478,1020,1122,1208,1253,1355,1469
